ln,lt,growth_rate,omega,ky,weighted_growth_rate
1.5,0.5,-0.004662933983103041,-0.1672128971128404,0.4,-0.004599042901020544
0.5,0.5,-0.005475902534121221,-0.08721641312884561,0.4,0.0010162952662737463
2.5,0.5,-0.007434099570215521,-0.29488176869977306,0.4,-0.006259422023947709
2.0,0.5,-0.00601414553252924,-0.23052190337466913,0.4,-0.006087840961503014
3.5,0.5,-0.009053918558770798,-0.4219031213854217,0.4,-0.0073794661194743864
3.0,0.5,-0.007693675955365528,-0.07126789906819594,2.0049751858748066,-0.007187075991997767
4.0,0.5,-0.008979596291422632,-0.23693811799752793,2.9999999999999996,-0.0062236965683390355
1.0,0.5,-0.006225910949936026,-0.017693587653316863,2.0049751858748066,-0.004301780343800955
0.5,1.0,0.012155426758213421,0.02200283492639587,0.5985111478955379,0.006936357265666952
5.5,0.5,-0.008756315776378625,-0.6843109880851388,0.4,-0.0052719023967331205
6.0,0.5,-0.009073225782304933,-0.7100977576530305,2.0049751858748066,-0.0053990117307202426
1.5,1.0,-0.00622837913637938,-0.1522215249001822,0.4,-0.005272010005466563
5.0,0.5,-0.009236034129600374,-0.16743874122945554,2.9999999999999996,-0.005990151434087828
1.0,1.0,-0.005364124568981632,-0.06192195553177335,0.5985111478955379,-0.0039731946656014604
4.5,0.5,-0.00933055277205215,-0.3926917418394142,1.339975165324572,-0.006138464500155093
2.0,1.0,-0.006763732816649046,-0.21683800113023255,0.4,-0.006493603331265124
3.0,1.0,-0.008462959916504103,-0.34404478252665144,0.4,-0.007667546978726872
3.5,1.0,-0.010286052716872447,-0.40639237159316344,0.4,-0.009202295935636547
4.0,1.0,-0.009201355225946844,-0.4679896131802571,0.4,-0.007359612489295917
4.5,1.0,-0.010026942505069018,-0.249960173552725,2.9999999999999996,-0.0066437767786940325
6.0,1.0,-0.009699244446570873,-0.8108987598209468,1.339975165324572,-0.005998295679328445
5.0,1.0,-0.009982659672184015,-0.406182367700353,1.339975165324572,-0.006548085021838135
2.5,1.0,-0.008198594582984713,-0.07704565332110748,2.9999999999999996,-0.007854359236981462
5.5,1.0,-0.00948910642653374,-0.24068143935990516,2.9999999999999996,-0.005301339057485979
1.0,1.5,0.018944515236249886,0.029888337575997365,0.8955389853880861,0.005143407701967779
2.5,1.5,-0.008919629456929156,-0.2653741700136537,0.4,-0.008405933603593376
2.0,1.5,-0.007226776645543687,0.021568926595432414,2.9999999999999996,-0.007798140034648532
0.5,1.5,0.024779837984409532,0.04322334900622153,0.5985111478955379,0.014563640213146538
4.0,1.5,-0.009498383278771824,-0.4539265738688411,0.4,-0.0077056651046859504
1.5,1.5,0.0033125513193945316,0.01980376192886465,1.339975165324572,-0.004036229494775409
3.0,1.5,-0.009240280609924666,-0.10107314592050982,2.9999999999999996,-0.008135219407279412
3.5,1.5,-0.010914429592993772,-0.0926143300961755,2.9999999999999996,-0.009520247403711744
5.0,1.5,-0.010843090483689323,-0.38827250237348454,1.339975165324572,-0.006897484555296047
4.5,1.5,-0.010841464044176408,-0.04572813582939142,2.9999999999999996,-0.0076216770328566994
6.0,1.5,-0.010246093576454798,-0.08298082401496151,2.9999999999999996,-0.005627343548068021
5.5,1.5,-0.010610406827745989,-0.4604891659064791,0.8955389853880861,-0.006377822114809219
0.5,2.0,0.03620915245310415,0.1146502233276579,0.8955389853880861,0.021708619101608862
1.5,2.0,0.026809194127725037,0.05566705105375269,1.339975165324572,0.00899943292553893
1.0,2.0,0.03416700512434542,0.1002618354937689,1.339975165324572,0.016599355999691093
2.0,2.0,0.014926733144736075,0.00046614241732514667,0.8955389853880861,-1.2509157177214832e-05
3.0,2.0,-0.010012747597803948,0.018953216607293783,2.9999999999999996,-0.008309480847293837
4.0,2.0,-0.010326245088086855,-0.0984849088627224,2.9999999999999996,-0.008901321263397606
4.5,2.0,-0.011577194366455474,-0.06802908121862196,2.0049751858748066,-0.008910991609643823
2.5,2.0,-0.005241049892755591,0.026526276229374833,2.9999999999999996,-0.005854559139672365
3.5,2.0,-0.01100676130534272,0.04838234843223222,2.9999999999999996,-0.008186353004151178
5.5,2.0,-0.011745108672733038,-0.39382406783783164,1.339975165324572,-0.007634324401549063
5.0,2.0,-0.011934784203258513,-0.056777135948280454,2.9999999999999996,-0.007438073138534614
6.0,2.0,-0.010851655959526536,-0.006388860289623797,2.9999999999999996,-0.005679107898089102
0.5,2.5,0.04650351142732788,0.1464234280831132,0.8955389853880861,0.027997823122670892
1.0,2.5,0.04702586876965571,0.09076097420691946,0.8955389853880861,0.025209495339535915
2.0,2.5,0.03591507417739234,0.07194173456191287,2.0049751858748066,-0.002888715298650986
1.5,2.5,0.04431916940104471,0.08840074029848817,1.339975165324572,0.00508227565858504
2.5,2.5,0.02628021016311558,0.03654126279406135,2.0049751858748066,-0.0034919387372975095
4.0,2.5,-0.011538708804748457,0.03334509014352184,2.9999999999999996,-0.009634394715289589
3.5,2.5,-0.010438590859206547,0.01794660870647906,2.9999999999999996,-0.007436489540932217
3.0,2.5,0.005866309408994215,-0.01898361289349954,0.8955389853880861,-0.00754592729203028
4.5,2.5,-0.012324873622606253,-0.10589949392807882,2.9999999999999996,-0.007924844702074088
5.0,2.5,-0.01333581351873136,-0.04078598492090819,2.0049751858748066,-0.008791783671915665
6.0,2.5,-0.011761549150017455,-0.3934034947087273,1.339975165324572,-0.0068674900543533104
0.5,3.0,0.056009320512368,0.1154314273654384,0.5985111478955379,0.034714441705908074
5.5,2.5,-0.012801894177590752,-0.0675394845014538,2.9999999999999996,-0.008128757208675754
1.0,3.0,0.05843514586075911,0.12605999879639934,0.8955389853880861,0.033250331253687516
2.0,3.0,0.05319604430118202,0.07798543208411851,1.339975165324572,0.0028410445087594612
1.5,3.0,0.05899004049083237,0.12005026006470186,1.339975165324572,0.020347022811705764
3.5,3.0,0.01751816656548767,0.007001077889662386,2.0049751858748066,-0.005929417979097893
2.5,3.0,0.04524210213357831,0.06619861554078914,2.0049751858748066,-0.000174252188962258
3.0,3.0,0.03671749690954292,0.032795550954612104,2.0049751858748066,-0.0039787877170145034
4.0,3.0,-0.011654122014044954,0.0164991836948188,2.9999999999999996,-0.007623472380274922
4.5,3.0,-0.012787883545593548,0.05226648741198122,2.0049751858748066,-0.008032797099761999
6.0,3.0,-0.012727256170067201,-0.06989373926831291,2.9999999999999996,-0.008372151569796206
5.0,3.0,-0.014442924941904156,0.05358877905304274,2.9999999999999996,-0.009681542107580104
5.5,3.0,-0.013894205020528424,-0.06041424120926464,2.9999999999999996,-0.008361439989758086
1.0,3.5,0.0699054136499319,0.08549463901069237,0.5985111478955379,0.04101241587795
0.5,3.5,0.0660161619203296,0.15384113585890935,0.5985111478955379,0.042165211562171484
1.5,3.5,0.07022803228662751,0.11413496658539529,0.8955389853880861,0.03285958666322821
2.0,3.5,0.0691156477787833,0.1066587838985628,1.339975165324572,0.028968826436880615
3.5,3.5,0.04533192123111606,0.028123830880347995,2.0049751858748066,-0.004087713469788197
