ln,lt,growth_rate,omega,ky,weighted_growth_rate,s,alpha
1.0,3.0,0.16761706845811855,0.3011481620734578,1.339975165324572,0.13687524058108821,0.1,-6.283185307179586
1.0,3.0,0.1676170684580699,0.30114816207342365,1.339975165324572,0.1368752405833824,0.1,6.283185307179586
1.0,3.0,0.13403924962386016,0.1709164964526411,0.8955389853880861,0.11128282452929837,0.25,3.9983906500233726
1.0,3.0,0.156613682213365,0.30765739287930877,1.339975165324572,0.1365336864221477,0.25,-1.7135959928671598
1.0,3.0,0.15119340303224804,0.15913857198534603,0.8955389853880861,0.12439945351882457,0.26363636363636367,-2.8559933214452666
1.0,3.0,0.16761706845806984,0.30114816207342354,1.339975165324572,0.13687524058338243,0.1,0.0
1.0,3.0,0.15756516258021971,0.34273027690107105,1.339975165324572,0.12597064005660177,0.18181818181818182,5.14078797860148
1.0,3.0,0.13000769927839564,0.16944012623280547,0.8955389853880861,0.10586549829111952,0.18181818181818182,-0.571198664289053
1.0,3.0,0.16519033362455907,0.3295891606658586,1.339975165324572,0.13087494461211865,0.1,-5.140787978601479
1.0,3.0,0.1613553488990071,0.30518132375551305,1.339975165324572,0.1362492713579657,0.18181818181818182,-6.283185307179586
1.0,3.0,0.16135534889900713,0.3051813237555131,1.339975165324572,0.13624927135796572,0.18181818181818182,0.0
1.0,3.0,0.13071427853349588,0.1642549679417612,0.8955389853880861,0.10308574393364651,0.1,0.571198664289053
1.0,3.0,0.1464631865298692,0.3533239922884915,1.339975165324572,0.1175778808697479,0.25,5.14078797860148
1.0,3.0,0.1613553488990071,0.305181323755513,1.339975165324572,0.13624927135796563,0.18181818181818182,6.283185307179586
1.0,3.0,0.13083580470394587,0.17155595919177183,0.8955389853880861,0.10987993510438891,0.25,-0.571198664289053
1.0,3.0,0.15576315802032745,0.30803062137996595,1.339975165324572,0.135979453878199,0.26363636363636367,-1.7135959928671598
1.0,3.0,0.15756572629603977,0.34273027689688945,1.339975165324572,0.12588108469549042,0.18181818181818182,-5.140787978601479
1.0,3.0,0.16698331287896898,0.3007641661480107,1.339975165324572,0.13413207872320584,0.1,1.7135959928671598
1.0,3.0,0.15769703079147496,0.30698971233043254,1.339975165324572,0.13561470973749265,0.25,6.283185307179586
1.0,3.0,0.13000875831759381,0.16944012623280547,0.8955389853880861,0.10587983014530844,0.18181818181818182,0.571198664289053
1.0,3.0,0.12938216792988053,0.16478651426215057,0.8955389853880861,0.10307040736901645,0.1,-3.998390650023373
1.0,3.0,0.15769703079147496,0.30698971233043254,1.339975165324572,0.1356147097374927,0.25,-6.283185307179586
