Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  9.1445e+01, -1.0529045749347780e-01, -2.1396180517768509e-02,  1.6674541294830489e-01,  1.0600529607167870e-01,  1.3497323030325639e-01, -1.7000457163947710e-02,  2.2482880137350289e-01, -9.5399140404509322e-02
     1,  9.1445e+01, -9.5290457493477809e-02, -2.1396180517768509e-02,  1.6674541294830489e-01,  1.0600529607167870e-01,  1.3497323030325639e-01, -1.7000457163947710e-02,  2.2482880137350289e-01, -9.5399140404509322e-02
     2,  9.1445e+01, -1.0529045749347780e-01, -1.1396180517768509e-02,  1.6674541294830489e-01,  1.0600529607167870e-01,  1.3497323030325639e-01, -1.7000457163947710e-02,  2.2482880137350289e-01, -9.5399140404509322e-02
     3,  9.1445e+01, -1.0529045749347780e-01, -2.1396180517768509e-02,  1.7674541294830490e-01,  1.0600529607167870e-01,  1.3497323030325639e-01, -1.7000457163947710e-02,  2.2482880137350289e-01, -9.5399140404509322e-02
     4,  9.1445e+01, -1.0529045749347780e-01, -2.1396180517768509e-02,  1.6674541294830489e-01,  1.1600529607167870e-01,  1.3497323030325639e-01, -1.7000457163947710e-02,  2.2482880137350289e-01, -9.5399140404509322e-02
     5,  9.1445e+01, -1.0529045749347780e-01, -2.1396180517768509e-02,  1.6674541294830489e-01,  1.0600529607167870e-01,  1.4497323030325640e-01, -1.7000457163947710e-02,  2.2482880137350289e-01, -9.5399140404509322e-02
     6,  9.1445e+01, -1.0529045749347780e-01, -2.1396180517768509e-02,  1.6674541294830489e-01,  1.0600529607167870e-01,  1.3497323030325639e-01, -7.0004571639477094e-03,  2.2482880137350289e-01, -9.5399140404509322e-02
     7,  9.1445e+01, -1.0529045749347780e-01, -2.1396180517768509e-02,  1.6674541294830489e-01,  1.0600529607167870e-01,  1.3497323030325639e-01, -1.7000457163947710e-02,  2.3607024144217803e-01, -9.5399140404509322e-02
     8,  9.1445e+01, -1.0529045749347780e-01, -2.1396180517768509e-02,  1.6674541294830489e-01,  1.0600529607167870e-01,  1.3497323030325639e-01, -1.7000457163947710e-02,  2.2482880137350289e-01, -8.5399140404509327e-02
     9,  1.8977e+02, -1.1019899724662884e-01, -1.7633156881642645e-02,  1.8020488071544960e-01,  1.2432029056244992e-01,  1.2555506763154101e-01, -1.7030353962414566e-02,  2.3205462666082829e-01, -1.2044475905647675e-01
    10,  1.8977e+02, -1.0019899724662884e-01, -1.7633156881642645e-02,  1.8020488071544960e-01,  1.2432029056244992e-01,  1.2555506763154101e-01, -1.7030353962414566e-02,  2.3205462666082829e-01, -1.2044475905647675e-01
