Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
     0,  1.7861e+01, -1.0529045749347780e-01, -2.1396180517768509e-02,  1.6674541294830489e-01,  1.0600529607167870e-01,  1.3497323030325639e-01, -1.7000457163947710e-02,  2.2482880137350289e-01, -9.5399140404509322e-02,  5.7632884226677317e-01
     1,  1.1074e+02, -1.3454835164963647e-01, -2.7024000370390145e-02,  1.1345857162012270e-01,  1.0671228720106155e-01,  8.3966222441396579e-02, -3.7487039299690925e-02,  3.3032286813053902e-01, -1.5276360142273543e-01,  2.3971873660118801e+00
     2,  1.3020e+02, -1.1019899724662884e-01, -1.7633156881642645e-02,  1.8020488071544960e-01,  1.2432029056244992e-01,  1.2555506763154101e-01, -1.7030353962414566e-02,  2.3205462666082829e-01, -1.2044475905647675e-01,  2.2505252695943181e-01
     3,  2.0944e+02, -1.0604108661557719e-01, -2.3869040574206996e-02,  1.7470888774669904e-01,  1.3441980695271497e-01,  1.2105247279140231e-01, -2.2914528490901788e-02,  2.6002478480028063e-01, -1.3769124852660866e-01,  1.4632231430340850e-01
     4,  2.8925e+02, -1.2379155529872003e-01, -3.4942841029613182e-02,  1.4853799141697382e-01,  1.3521681369626587e-01,  1.2461113205678355e-01, -3.9144508968317344e-02,  3.1687535514505361e-01, -1.6339867366633959e-01,  2.1300697056937173e-01
     5,  3.0850e+02, -1.0931427810067046e-01, -2.6916106580820876e-02,  1.7148031102002967e-01,  1.3749190313110790e-01,  1.2333566094780654e-01, -2.7487200125692661e-02,  2.7381972361071144e-01, -1.4632140934682725e-01,  1.2442070412513034e-01
     6,  3.8840e+02, -1.1298744341849627e-01, -2.6558702804777075e-02,  1.6955943393238329e-01,  1.3853336025169816e-01,  1.2610231678166714e-01, -2.9255381537374954e-02,  2.8709734781704005e-01, -1.5751478800370960e-01,  1.0886919965221101e-01
     7,  4.6737e+02, -1.2048912665810951e-01, -2.6661766482982047e-02,  1.6287391943652402e-01,  1.3528841257051852e-01,  1.2473537201127290e-01, -3.1695919091790550e-02,  3.0007934293124111e-01, -1.6406410408841726e-01,  1.0170944463725011e-01
     8,  5.4555e+02, -1.2664397042453321e-01, -2.4713597426967791e-02,  1.5376678735240679e-01,  1.2649498383197547e-01,  1.2382968350166820e-01, -3.2462072960119978e-02,  3.1084625179786074e-01, -1.6745333184025130e-01,  9.3579343598173409e-02
     9,  6.2166e+02, -1.3207485105253119e-01, -2.5966937351270633e-02,  1.4375852770518616e-01,  1.1942767328583423e-01,  1.1930279259579189e-01, -3.6372195331466878e-02,  3.2143710401148068e-01, -1.6617397683360990e-01,  1.1623320863065199e-01
